city,country,latitude,longitude,temperature,humidity (%),cloudiness (%),wind_speed (kmph)
krutikha,ru,53,81,-24,59,0,1
zapadnaya dvina,ru,56,32,0,97,88,4
boone,us,36,-81,0,99,90,2
manzil jamil,tn,,,,,,
medina del campo,es,41,-4,0,73,0,1
coroata,br,-6,-44,22,97,48,1
chornukhy,ua,50,32,0,98,68,2
ravar,ir,31,56,-2,79,0,1
lamu,ke,0,122,25,99,20,1
peleduy,ru,59,112,-22,62,68,3
kirakira,sb,-10,161,29,100,12,1
salinas,ec,36,-121,13,71,1,1
tolosa,es,43,-2,10,76,92,1
sumbawanga,tz,-7,31,16,93,75,2
naze,jp,5,7,23,95,32,1
lolua,tv,,,,,,
sinjar,iq,35,37,8,93,20,1
minab,ir,27,57,16,63,0,2
severnyy,ru,,,,,,
salalah,om,17,54,21,64,0,1
samus,ru,56,84,-24,76,32,1
silver city,us,32,-108,7,56,1,2
lae,pg,-6,146,26,83,12,0
oromocto,ca,45,-66,-8,61,90,2
dandong,cn,40,124,-17,65,32,1
cienfuegos,cu,22,-80,24,88,12,1
ankazobe,mg,-18,47,16,93,20,2
lamar,us,38,-102,2,40,1,2
keetmanshoop,na,-26,18,16,55,0,3
nyrob,ru,60,56,-6,91,80,2
thaba-tseka,ls,-29,28,6,74,68,0
lowicz,pl,52,19,5,93,75,10
kamennomostskiy,ru,44,40,-2,70,44,1
falmouth,gb,50,-5,8,81,88,6
sakhnovshchyna,ua,49,35,2,95,92,4
panaba,mx,21,-88,25,76,48,4
bubaque,gw,11,-15,26,100,0,3
aguimes,es,27,-15,17,67,0,3
tasbuget,kz,,,,,,
bjornevatn,no,69,29,-4,100,44,2
maxixe,mz,-23,35,22,100,92,3
abiy adi,et,,,,,,
martigny,ch,46,7,-14,100,90,0
eyl,so,7,49,24,100,36,6
yefira,gr,,,,,,
lilongwe,mw,-13,33,20,94,40,3
hinton,ca,53,-117,-5,67,8,2
salina,us,36,-95,0,68,1,3
shintomi,jp,32,131,10,53,75,4
hope mills,us,34,-78,3,92,90,6
ouro fino,br,-22,-46,20,60,80,2
vetluga,ru,57,45,-7,85,64,2
beaupre,ca,47,-70,-9,92,80,2
dumbraveni,ro,46,24,1,86,40,1
plettenberg bay,za,-34,23,16,100,0,5
carlagan,ph,14,122,26,100,68,6
acari,pe,-6,-36,23,75,20,3
eureka,us,40,-124,11,93,90,6
alibag,in,18,72,22,68,0,1
tucumcari,us,35,-103,2,40,1,2
kapustin yar,ru,48,45,-2,93,80,4
jvari,ge,42,42,1,65,44,1
brandon,us,43,-96,-6,91,90,3
canon city,us,39,-117,-4,90,36,1
bratsk,ru,56,101,-21,76,56,1
zelenoborskiy,ru,66,32,-1,86,88,2
middelburg,za,-25,29,15,88,80,3
maryville,us,40,-94,-4,63,1,1
buluang,ph,10,123,29,74,75,5
gannan,cn,47,123,-28,28,0,1
locri,it,38,16,16,63,40,8
benjamin hill,mx,30,-111,17,47,0,2
caceres,br,5,-74,19,97,36,0
mocajuba,br,-2,-49,22,99,92,1
winona,us,43,-79,-2,79,75,4
saleilua,ws,,,,,,
new haven,us,41,-72,-1,55,1,2
veshkayma,ru,54,47,-7,90,88,4
canberra,au,-35,149,21,64,75,1
umm jarr,sd,,,,,,
marv dasht,ir,,,,,,
masingbi,sl,8,-11,20,64,0,1
ilo,pe,-17,-71,17,94,0,1
missoula,us,46,-114,-4,74,1,1
mpongwe,zm,-13,28,17,100,92,3
villamontes,bo,-21,-63,26,71,100,1
malanville,bj,11,3,19,44,0,3
puerto asis,co,0,-76,22,97,8,0
paducah,us,37,-88,0,74,1,2
cap malheureux,mu,-19,57,23,94,75,2
akcakoca,tr,41,31,6,81,12,2
tonekabon,ir,36,50,12,93,40,0
pindi gheb,pk,33,72,11,99,92,2
jodhpur,in,26,73,10,79,0,1
zhicheng,cn,35,112,-7,80,76,0
shizunai,jp,42,142,-6,100,0,6
san javier,bo,37,0,11,87,0,2
marovoay,mg,-16,46,27,88,20,2
yuancheng,cn,,,,,,
mzimba,mw,-11,33,18,96,64,1
virden,ca,49,-100,-12,80,0,3
poli,cm,8,13,15,78,0,1
addi ugri,er,,,,,,
tall kayf,iq,37,41,5,98,88,1
urdoma,ru,61,48,-5,90,76,2
escarcega,mx,18,-90,26,68,44,2
ofunato,jp,39,141,3,47,40,2
ruswil,ch,47,8,6,81,75,3
canutama,br,-6,-64,26,81,24,2
bjelovar,hr,45,16,5,93,0,4
boundiali,ci,9,-6,18,57,0,1
chlorakas,cy,,,,,,
suntar,ru,62,117,-29,59,56,2
flores,br,16,-89,27,65,36,2
mtwango,tz,-9,34,17,97,92,1
cape elizabeth,us,,,,,,
decatur,us,35,-84,3,100,90,2
mallama,co,,,,,,
makarov,ru,48,142,-5,100,20,7
nikolskoye,ru,59,30,-1,86,20,4
trogir,hr,43,16,-1,82,36,0
winkler,ca,49,-97,-7,67,1,4
paradise valley,us,53,-110,-12,72,20,4
bolshiye uki,ru,,,,,,
palmer,us,-34,139,25,31,0,6
elliot,za,-31,27,5,96,24,1
latung,ph,-8,120,26,91,0,1
severnoye,ru,54,52,-5,93,80,2
wawa,ca,9,4,20,51,0,2
kizilskoye,ru,52,58,-12,77,80,1
miles city,us,46,-105,-3,84,1,5
bolshaya irba,ru,,,,,,
dubbo,au,-32,148,33,26,0,6
yagodnoye,ru,62,149,-24,52,68,1
laje,br,-13,-39,22,88,92,3
miramar,mx,10,-84,20,64,20,6
hailar,cn,49,119,-34,46,0,1
sfantu gheorghe,ro,44,26,0,94,90,2
endicott,us,42,-76,-7,61,1,2
pawayan,in,28,80,9,87,0,1
cabo san lucas,mx,22,-109,22,60,5,2
nakamura,jp,35,136,8,42,75,7
amga,ru,60,131,-31,37,32,1
itoman,jp,26,127,20,83,75,5
jamame,so,0,42,25,93,0,2
obsharovka,ru,53,48,-7,95,80,3
fairbanks,us,64,-147,-12,92,90,1
cayenne,gf,4,-52,27,78,90,2
safonovo,ru,55,33,0,97,88,3
savonlinna,fi,61,28,0,93,90,3
san ramon,bo,12,-85,20,90,44,0
curuca,br,-2,-61,25,91,32,1
anahuac,mx,29,-94,8,75,90,5
ahipara,nz,-35,173,20,72,24,6
rapid valley,us,44,-103,-2,65,1,2
orange walk,bz,17,-76,27,65,20,5
pont-a-mousson,fr,48,6,5,81,75,6
craig,us,40,-107,-7,80,1,0
malpe,in,13,74,25,88,20,3
key west,us,47,-96,-10,85,1,3
fort morgan,us,40,-103,-2,45,0,4
kleck,by,,,,,,
tungor,ru,53,142,-7,94,64,9
iacu,br,-12,-40,24,77,32,4
kigali,rw,-1,30,17,100,75,1
dalnerechensk,ru,45,133,-20,69,0,2
nakhon thai,th,17,100,25,69,75,2
midrand,za,-26,28,15,82,88,0
ishinomaki,jp,38,141,3,55,40,4
sanmenxia,cn,34,111,-6,92,92,1
la celia,co,5,-76,23,69,40,0
copiapo,cl,-27,-70,16,77,0,3
dmitriyev-lgovskiy,ru,,,,,,
lydenburg,za,-25,30,15,100,92,0
vaitupu,wf,,,,,,
fram,py,46,15,0,80,8,1
orlik,ru,52,99,-38,0,0,0
jibuti,dj,,,,,,
spencer,us,43,-95,-7,84,90,3
dumai,id,1,101,25,95,76,1
madinat sittah uktubar,eg,29,31,15,58,0,4
umm bab,qa,25,50,18,60,1,1
munster,de,52,10,5,86,75,7
carman,ca,49,-98,-6,92,12,4
aksu,cn,52,76,-20,76,0,5
beinamar,td,8,15,16,64,0,2
manadhoo,mv,5,73,28,100,0,1
fez,ma,34,-5,8,75,0,3
curup,id,-3,102,22,95,92,0
bombay,nz,44,-74,-1,69,90,4
kipushi,cd,-11,27,17,99,92,2
novoilinsk,ru,,,,,,
kabo,cf,7,18,21,53,0,1
riihimaki,fi,60,24,3,93,75,4
dong xoai,vn,11,106,23,96,44,1
sarandi,br,-27,-52,19,69,32,1
mankato,us,44,-94,-9,91,1,1
anjad,in,22,75,15,75,0,2
haines junction,ca,60,-137,0,73,80,2
galle,lk,29,-97,7,76,1,3
lamont,ca,53,-112,-6,67,1,2
lodja,cd,-3,23,20,98,8,1
makasar,id,-6,106,29,74,20,2
houlton,us,46,-67,-9,83,75,2
suao,tw,,,,,,
kaka,tm,37,59,-1,100,0,1
robe,et,7,40,8,82,56,0
bikin,ru,46,134,-23,70,0,1
pitsunda,ge,43,40,8,61,48,6
muromtsevo,ru,56,75,-21,61,0,1
shubarkuduk,kz,49,56,-7,69,88,1
tolaga bay,nz,-38,178,21,73,0,3
sann,pk,26,68,12,87,0,2
bangkalan,id,-7,112,27,97,0,1
villa maria,ar,4,-74,12,87,40,1
mamallapuram,in,12,80,23,94,20,1
grand-bourg,gp,15,-61,24,83,75,3
poletayevo,ru,55,61,-19,84,8,1
distraccion,co,10,-72,29,58,0,4
aporawan,ph,,,,,,
washington,us,38,-77,0,49,90,6
mudyuga,ru,,,,,,
ternate,id,14,120,30,58,20,1
ozark,us,37,-93,0,65,1,2
santa rosa del sur,co,7,-74,26,84,8,0
adzope,ci,6,-3,23,93,24,1
neyshabur,ir,36,58,-3,78,24,0
elat,il,2,11,20,97,80,1
yuli,tw,10,9,16,46,0,2
mahanje,tz,,,,,,
tias,es,28,-13,16,87,20,3
satipo,pe,-11,-74,22,78,36,0
tobolsk,ru,58,68,-16,71,36,1
lander,us,42,-108,-4,19,1,4
yarkovo,ru,54,82,-23,76,12,1
gotsu,jp,35,132,7,70,40,2
mora,cm,61,14,-3,92,92,1
lukhovitsy,ru,54,39,0,95,88,5
lazaro cardenas,mx,28,-105,9,57,5,2
vadso,no,70,29,-4,100,32,2
geraldton,au,49,-86,-8,85,90,1
shakhtinsk,kz,49,72,-11,72,0,4
svetlogorsk,ru,53,59,-11,72,75,1
benque viejo,bz,,,,,,
helena,us,46,-112,-2,65,1,2
jaen,pe,-5,-78,16,96,92,0
olovyannaya,ru,50,115,-33,44,24,1
sungai kolok,th,,,,,,
navrongo,gh,10,-1,19,46,0,1
sendafa,et,9,39,12,87,20,1
kodinar,in,20,70,12,87,0,1
butte,us,46,-112,-11,72,1,2
lagdo,cm,9,13,21,49,0,1
srednekolymsk,ru,67,153,-33,44,64,1
shar,kz,7,8,23,40,12,3
nyamuswa,tz,-1,34,16,100,92,1
berndorf,at,47,16,7,81,75,5
kochi,in,9,76,24,88,75,1
tabuk,sa,17,121,20,96,64,0
arys,kz,42,68,6,100,90,1
barhi,in,24,85,7,93,0,5
sturgeon bay,us,44,-87,-4,83,1,4
samandag,tr,,,,,,
shchelyayur,ru,,,,,,
yenagoa,ng,4,6,23,93,32,2
charlestown,kn,41,-71,0,66,1,6
mendi,et,9,35,19,54,44,3
mallaig,gb,57,-5,5,100,12,4
sisimiut,gl,66,-53,-26,100,0,1
ishigaki,jp,24,124,23,94,75,10
palimbang,ph,14,120,28,58,40,4
juarez,mx,-38,-67,24,36,0,2
la orilla,mx,18,-102,26,82,0,1
strathmore,ca,51,-113,0,47,90,3
gavle,se,60,17,0,100,88,1
ardakan,ir,32,54,6,38,0,3
susurluk,tr,39,28,4,100,40,0
warkworth,nz,-36,174,20,77,20,8
partizanskoye,ru,44,34,0,80,88,1
fagersta,se,60,15,-2,100,24,4
hangu,cn,33,71,11,81,75,2
port hedland,au,-20,118,33,63,8,6
berja,es,36,-2,11,93,0,1
mozarlandia,br,-14,-50,24,73,12,4
crossville,us,35,-85,1,92,90,3
vyazma,ru,55,34,0,98,92,3
nyuksenitsa,ru,60,44,-6,88,68,4
srirampur,in,23,90,17,88,0,1
almeirim,br,39,-8,11,87,0,3
rio blanco,ni,-16,-67,14,97,48,0
kopyevo,ru,,,,,,
eenhana,na,-17,16,20,24,0,1
svetlyy,ru,,,,,,
garhi khairo,pk,28,67,13,97,0,1
monrovia,lr,6,-10,25,94,40,3
gandajika,cd,-6,23,19,100,56,1
yelandur,in,12,77,14,89,0,1
kota kinabalu,my,5,116,31,74,75,0
teno,cl,-34,-71,22,49,0,2
narva-joesuu,ee,59,28,1,100,92,3
haverhill,us,52,0,5,100,90,4
harnosand,se,62,17,0,100,92,2
tateyama,jp,36,137,5,91,20,1
kavali,in,14,79,18,90,0,0
cabinda,ao,-5,12,25,100,92,1
humaita,py,-24,-65,21,83,0,1
el tarra,co,8,-73,19,79,0,0
witu,ke,-2,40,22,97,40,1
spornoye,ru,50,37,2,100,90,5
manali,in,32,77,-19,95,64,0
sunrise manor,us,36,-115,13,38,1,1
kobojango,bw,,,,,,
bealanana,mg,-14,48,15,89,44,0
general pico,ar,-35,-63,24,53,0,0
kurdzhinovo,ru,43,40,-8,76,36,0
dibaya,cd,,,,,,
taganak,ph,6,118,26,94,90,2
puerto cabello,ve,10,-68,22,79,0,1
rheden,nl,52,6,5,80,90,4
rtishchevo,ru,52,43,-4,93,92,5
marmaris,tr,36,28,11,87,75,4
sindor,ru,62,51,-6,87,88,2
sakhon nakhon,th,,,,,,
lethbridge,ca,49,-112,3,59,90,8
heihe,cn,50,127,-20,70,0,1
lourdes,fr,13,-89,25,88,0,1
butterworth,za,5,100,26,94,75,1
sayat,tm,38,63,4,93,90,2
datong,cn,40,113,-16,75,76,1
ibicui,br,-14,-39,20,99,92,3
rolim de moura,br,,,,,,
qinzhou,cn,21,108,6,100,100,4
karonga,mw,-9,33,22,100,64,2
tabasco,mx,21,-102,17,39,40,2
nykoping,se,58,17,0,92,20,4
venado,mx,22,-101,14,64,24,1
owosso,us,43,-84,-3,87,1,3
viseu,br,40,-7,8,93,0,0
komsomolskiy,ru,67,63,-8,90,88,6
azrow,af,,,,,,
sychevka,ru,55,34,-1,96,92,2
monster,nl,52,4,7,81,75,9
zhongshu,cn,24,103,8,100,92,1
laizhou,cn,37,119,-8,100,0,0
pontal,br,-21,-48,23,56,0,2
greymouth,nz,-42,171,17,93,36,1
port-de-bouc,fr,43,4,8,93,0,6
louis trichardt,za,-23,29,20,84,76,1
mujiayingzi,cn,42,118,-19,58,32,2
primore,ru,,,,,,
choix,mx,26,-108,19,51,0,0
toyooka,jp,35,134,3,100,75,1
shobara,jp,34,133,5,60,75,3
taguatinga,br,-15,-48,19,88,75,4
dong hoi,vn,17,106,21,100,100,7
fianarantsoa,mg,-21,47,16,85,20,0
jiuquan,cn,39,98,-28,44,44,0
kalaiya,np,27,85,8,83,0,1
bhairab bazar,bd,24,90,15,93,0,1
kota tinggi,my,1,103,28,88,75,1
mingaora,pk,34,72,3,100,92,0
krymsk,ru,44,37,4,100,44,2
punta umbria,es,37,-6,11,81,20,3
dayong,cn,11,122,26,100,48,7
ladario,br,40,-7,1,79,0,1
sault sainte marie,ca,46,-84,-1,86,90,4
craigieburn,au,-37,144,20,52,40,5
weligama,lk,5,80,24,100,92,0
karasjok,no,69,25,-7,92,75,5
do gonbadan,ir,30,50,-2,77,0,0
bokajan,in,26,93,9,89,0,0
kropachevo,ru,55,57,-8,81,88,1
faridan,ir,,,,,,
ijaki,ki,,,,,,
nokaneng,bw,-19,22,22,25,44,3
vermillion,us,42,-96,-8,83,1,2
peachland,ca,49,-119,0,73,90,1
halberstadt,de,51,11,3,98,92,6
hungund,in,16,76,23,68,88,3
laem sing,th,12,102,26,88,75,1
murray bridge,au,-35,139,19,83,0,5
hurricane,us,37,-113,0,92,1,1
pontes e lacerda,br,-15,-59,26,83,8,1
catabola,ao,-12,17,16,95,56,1
tonj,sd,,,,,,
yabrud,sy,33,36,4,93,0,2
canala,nc,-21,165,27,54,75,6
bumba,cd,2,22,20,100,92,2
qena,eg,26,32,12,71,0,1
cockburn town,tc,21,-71,27,98,0,10
ghanzi,bw,-21,21,20,21,0,5
baneh,ir,35,45,4,98,92,0
egersund,no,58,6,3,86,75,7
coihueco,cl,-36,-71,18,63,12,5
capoterra,it,39,8,14,58,0,12
fushun,cn,41,123,-12,60,36,4
bayji,iq,34,43,8,97,76,1
puerto leguizamo,co,0,-74,24,89,32,1
kokstad,za,-30,29,10,99,92,1
kalat,pk,29,66,-1,89,24,1
fuxin,cn,42,121,-17,53,64,1
corner brook,ca,48,-57,-3,73,90,6
haridwar,in,29,78,7,93,20,2
bowmore,gb,34,-79,2,100,90,4
sinegorye,ru,62,150,-24,72,32,1
carpentras,fr,44,5,8,70,0,1
saldanha,za,41,-6,0,79,0,1
codo,br,-8,112,26,100,48,1
kizema,ru,61,44,-6,87,80,3
sorvag,fo,,,,,,
loreto,mx,-23,-57,28,52,20,3
sofiyivka,ua,48,33,1,100,90,1
nabire,id,-3,135,24,90,8,1
eston,ca,51,-108,-13,84,75,10
katsiveli,ua,,,,,,
ancona,it,41,-88,-4,92,1,2
dunayivtsi,ua,,,,,,
matagami,ca,9,8,17,48,0,2
bobo dioulasso,bf,,,,,,
puerto quijarro,bo,-19,-57,27,70,0,0
immokalee,us,26,-81,20,93,90,2
dakoro,ne,14,6,16,34,0,5
lam luk ka,th,13,100,26,78,0,1
kui buri,th,12,99,25,83,20,3
choucheng,cn,,,,,,
kawambwa,zm,-9,29,19,100,92,2
sao marcos,br,-28,-51,16,83,56,0
flinders,au,-34,150,22,88,76,3
nerang,au,-27,153,27,61,40,4
sarangani,ph,5,125,28,96,0,5
shetpe,kz,44,52,-6,84,0,1
palora,ec,-1,-77,16,100,80,0
messina,za,38,15,16,63,40,8
caorle,it,45,12,3,100,8,1
marawi,sd,8,124,23,81,8,1
kilindoni,tz,-7,39,28,100,64,3
girona,es,41,2,5,100,20,2
emirdag,tr,39,31,4,87,88,3
chunoyar,ru,57,97,-23,69,92,1
zhob,pk,31,69,-2,77,20,1
pringsewu,id,-5,104,24,93,36,1
zubtsov,ru,56,34,-1,96,92,2
garoua,cm,9,13,21,49,0,2
sinjah,sd,,,,,,
rorvik,no,64,11,0,100,48,1
pilao arcado,br,,,,,,
ayutla,mx,20,-104,20,59,92,1
rahon,in,47,6,5,86,75,1
jadu,ly,31,12,3,79,0,2
tobol,kz,59,12,0,84,76,5
williams lake,ca,52,-122,1,69,75,8
canchungo,gw,12,-16,21,83,0,3
danshui,cn,22,114,12,76,90,8
la rosa,hn,-34,-71,16,89,0,5
attawapiskat,ca,,,,,,
lucapa,ao,-8,20,18,99,76,1
whitehorse,ca,60,-135,2,69,90,8
chau doc,vn,10,105,23,100,92,2
torrington,us,42,-104,-1,63,1,4
bouna,ci,9,-3,20,56,0,0
yellowknife,ca,62,-114,-7,92,75,6
maloshuyka,ru,,,,,,
plunge,lt,55,21,6,93,92,2
palafrugell,es,41,3,5,100,20,2
tchaourou,bj,8,2,20,61,0,1
goiatuba,br,-18,-49,23,68,0,5
denizli,tr,37,29,6,100,75,1
kraskino,ru,42,130,-9,100,0,4
perelyub,ru,51,50,-5,92,76,2
adria,it,45,12,2,100,0,1
tonneins,fr,44,0,7,93,90,3
mingshui,cn,22,109,6,100,100,2
erenhot,cn,43,111,-27,47,0,1
harrisonburg,us,38,-78,-2,95,90,1
conde,br,-11,-37,25,92,92,3
lamtah,tn,35,10,14,67,0,3
effingham,us,39,-88,-2,84,1,2
nagato,jp,34,131,7,61,40,3
rakaia,nz,-43,172,16,63,44,3
kingman,us,35,-114,14,36,75,6
paracuru,br,-3,-39,28,78,75,3
shaoyang,cn,27,111,0,99,92,1
mwense,zm,-10,28,18,97,88,1
rutana,bi,-3,29,15,100,76,1
yerky,ua,49,33,0,98,88,1
ingham,au,-18,146,23,100,92,5
gamba,ga,28,88,-22,55,32,0
funtua,ng,11,7,18,43,0,3
kushiro,jp,43,144,-5,41,20,4
anna paulowna,nl,52,4,6,75,40,6
umba,ru,66,34,-1,94,88,4
caravelas,br,-17,-39,23,100,92,8
ubinskoye,ru,55,79,-23,51,20,1
dordrecht,za,51,4,5,81,75,9
tingrela,ci,,,,,,
kavaratti,in,10,72,29,98,0,4
la gomera,gt,14,-91,28,78,20,3
ilulissat,gl,69,-51,-12,55,0,6
altamont,us,49,-98,-6,92,0,4
mundgod,in,14,75,21,80,0,1
niksic,me,42,18,9,70,20,4
fort abbas,pk,29,72,14,93,92,2
port alberni,ca,49,-124,7,93,90,4
heishan,cn,41,122,-15,56,44,2
rzeszow,pl,50,22,3,93,75,5
boo,se,7,8,23,40,12,3
shestakovo,ru,56,103,-28,56,44,1
merauke,id,-8,140,29,84,12,5
poltavka,ru,54,71,-16,70,36,2
ngaoundere,cm,7,13,15,60,0,2
ambilobe,mg,-13,49,20,95,24,1
uruacu,br,-14,-49,20,94,24,3
fort pierce,us,27,-80,21,90,75,4
okato,nz,-39,173,19,100,0,0
kambove,cd,-10,26,18,90,80,1
vikhorevka,ru,56,101,-21,76,56,1
ahuimanu,us,21,-157,25,73,75,5
north augusta,us,44,-75,-1,74,90,5
pinsk,by,52,26,4,97,92,5
kokoda,pg,-8,147,23,75,12,0
prudentopolis,br,-25,-50,17,71,68,1
alexander city,us,32,-85,4,100,90,2
grand gaube,mu,-20,57,23,94,75,2
serebryanyy bor,ru,56,124,-28,74,56,1
puerto gaitan,co,,,,,,
deh rawud,af,,,,,,
korla,cn,,,,,,
tuscaloosa,us,33,-87,3,89,90,5
liku,wf,0,119,27,94,32,1
sao joao da ponte,br,-15,-44,18,98,92,4
kawana waters,au,,,,,,
faro,pt,37,-7,10,87,0,2
urulga,ru,,,,,,
siddipet,in,18,78,20,97,24,3
ratisbon,de,,,,,,
york,gb,53,-1,3,86,0,4
ibate,br,-21,-48,21,64,0,1
kushima,jp,31,131,8,53,75,4
artyom,az,43,132,-12,51,0,1
alamos,mx,-36,-62,19,48,32,1
tawang,in,27,91,-4,58,0,0
canico,pt,32,-16,17,77,40,2
ranghulu,cn,46,124,-28,28,0,1
padampur,in,29,73,13,94,100,4
jabinyanah,tn,35,10,14,50,0,3
rockport,us,28,-97,10,74,1,3
bad hofgastein,at,47,13,6,75,75,6
port pirie,au,-33,138,23,56,8,9
ouro preto do oeste,br,-10,-62,25,90,24,0
sofiysk,ru,,,,,,
tabou,ci,4,-7,27,100,12,3
sao borja,br,-28,-56,24,51,44,2
numan,ng,9,12,23,45,0,4
ridgecrest,us,35,-117,11,58,75,1
rakiv lis,ua,51,24,4,97,92,5
kamyshla,ru,54,52,-5,91,76,2
rusape,zw,-18,32,16,97,68,1
novobiryusinskiy,ru,56,97,-22,62,92,1
bogalusa,us,30,-89,4,83,90,3
clifton,us,-27,151,27,42,0,2
coyuca,mx,,,,,,
imeni poliny osipenko,ru,52,136,-28,58,24,1
tuban,id,-6,112,25,96,12,1
bindura,zw,-17,31,18,95,92,1
otautau,nz,-46,168,14,98,12,2
tamiahua,mx,21,-97,18,100,92,7
monkey bay,mw,-14,34,25,100,80,4
frontera,mx,18,-92,23,94,90,8
ballitoville,za,-29,31,17,88,90,7
ascension,bo,,,,,,
antsohihy,mg,-14,47,23,98,24,1
panalingaan,ph,8,117,27,88,0,3
dubrovnik,hr,42,18,9,70,20,4
moindou,nc,-21,165,27,54,75,6
callaway,us,46,-95,-9,92,1,1
olonets,ru,60,32,-2,85,92,2
manavalakurichi,in,8,77,26,83,40,2
viligili,mv,,,,,,
can tho,vn,10,105,27,88,40,4
sokoni,tz,-12,28,18,94,88,2
plaridel,ph,13,122,25,100,24,5
lambarene,ga,0,10,23,100,88,0
bafoulabe,ml,13,-10,18,45,0,2
butaritari,ki,3,172,29,100,76,3
soto la marina,mx,23,-98,15,53,0,2
sale,au,53,-2,5,93,75,1
aranda de duero,es,41,-3,-1,79,0,1
peru,us,41,-89,-4,84,1,2
hithadhoo,mv,0,73,28,100,68,5
mahudha,in,22,72,13,71,0,1
madras,in,44,-121,2,92,90,1
triel-sur-seine,fr,48,2,7,87,40,5
pochutla,mx,15,-96,26,83,40,5
titesti,ro,45,25,-6,78,36,0
pemba,mz,-12,40,29,95,64,6
yarada,in,17,83,20,88,20,2
shambu,et,9,37,13,90,68,1
isangel,vu,-19,169,28,65,40,3
bulgan,mn,48,103,-30,28,0,1
marin,mx,47,22,4,93,88,1
sebina,bw,-20,27,18,97,80,4
yashan,cn,30,118,0,100,92,1
hwange,zw,-18,26,20,91,12,2
akureyri,is,65,-18,-23,49,0,0
phuket,th,7,98,26,74,20,0
bajil,ye,38,-2,1,79,0,1
dien bien,vn,,,,,,
dejen,et,10,38,12,72,68,0
diofior,sn,14,-16,22,56,0,5
caraballeda,ve,10,-66,26,78,20,6
caxambu,br,-21,-44,18,68,12,2
rupert,us,42,-113,0,74,1,4
lardos,gr,36,28,15,82,40,5
carberry,ca,49,-99,-16,77,20,2
bargal,so,,,,,,
ayna,pe,38,-2,3,93,0,0
kachikau,bw,,,,,,
nuuk,gl,64,-51,-9,72,48,7
pokhara,np,28,83,1,71,0,1
avera,pf,33,-82,2,93,90,4
portmore,jm,17,-76,27,65,20,5
jupiter,us,26,-80,21,93,75,6
chingola,zm,-12,27,18,99,92,2
ionia,us,42,-85,-3,83,1,3
natalio,py,-26,-55,22,70,8,1
pechenga,ru,58,41,-5,90,80,6
jacareacanga,br,-6,-57,24,94,0,0
swinford,ie,53,-8,5,99,8,3
ixtapa,mx,20,-105,25,78,40,2
bayog,ph,7,123,25,100,0,1
santa vitoria do palmar,br,-33,-53,22,49,8,4
ranot,th,7,100,25,95,92,2
lefka,cy,39,22,6,70,75,1
anadyr,ru,64,177,-28,75,0,6
helong,cn,25,116,2,99,92,1
ybycui,py,-26,-57,24,57,0,2
taywarah,af,33,64,-10,69,8,1
syasstroy,ru,60,32,-1,88,92,3
ragama,lk,7,79,23,88,40,2
emborion,gr,40,21,-2,86,44,1
raahe,fi,64,24,0,99,80,5
deep river,ca,46,-77,-2,92,90,3
nantucket,us,41,-70,0,66,1,4
yei,sd,,,,,,
nouadhibou,mr,20,-17,19,63,0,2
lowestoft,gb,52,1,4,93,0,3
baiyin,cn,36,104,-9,78,75,2
luganville,vu,-15,167,27,99,36,6
bolshoye sorokino,ru,,,,,,
purna,in,19,77,20,77,20,2
bantry,ie,,,,,,
lundazi,zm,-12,33,19,96,88,1
keffi,ng,8,7,20,53,0,2
caucasia,co,7,-75,29,67,20,0
aktas,kz,,,,,,
masjed-e soleyman,ir,,,,,,
ribeira brava,cv,32,-17,17,77,40,2
palatka,ru,29,-81,17,77,1,3
murray,us,40,-111,0,94,90,1
havoysund,no,71,24,-1,92,75,2
banmo,mm,,,,,,
atkarsk,ru,51,45,-7,90,92,4
changde,cn,29,111,0,99,92,2
allonnes,fr,47,0,7,93,20,3
rabo de peixe,pt,37,-25,18,88,40,5
nanhai,cn,30,111,0,91,92,3
caraquet,ca,47,-64,-13,84,90,5
wanaka,nz,-44,169,15,67,32,1
gillette,us,44,-105,-2,62,1,4
tobane,bw,-21,28,19,98,92,2
yangjiang,cn,21,111,14,100,88,9
riohacha,co,11,-72,29,58,0,4
shepetivka,ua,50,27,0,95,68,4
azimur,ma,,,,,,
la tuque,ca,47,-72,-10,79,88,1
hebi,cn,35,114,-10,72,68,1
astipalaia,gr,,,,,,
tostamaa,ee,,,,,,
suba,ph,28,103,0,99,88,0
mendahara,id,,,,,,
xinmin,cn,42,122,-12,60,48,4
marienburg,sr,52,9,5,80,40,8
alashtar,ir,,,,,,
otjimbingwe,na,-22,16,13,75,0,1
singarayakonda,in,15,80,18,90,0,0
borovskoy,kz,53,64,-28,27,0,1
villaviciosa,es,43,-5,9,93,20,0
diamantino,br,-14,-56,25,86,8,2
yubari,jp,,,,,,
cangzhou,cn,38,116,-14,57,8,1
platonovka,ru,,,,,,
chingirlau,kz,51,54,-4,92,80,1
mount isa,au,-20,139,36,26,0,5
phetchaburi,th,13,99,25,83,20,3
ivankiv,ua,50,29,0,98,76,5
la romana,do,18,-68,23,100,20,2
sovetskaya,ru,44,41,-2,96,44,3
japura,br,0,102,23,98,36,1
sturgeon falls,ca,46,-79,-4,100,90,7
ebolowa,cm,2,11,20,97,80,1
kadambur,in,9,77,25,88,40,2
kaoma,zm,-14,24,17,97,76,3
